v0,v1,v2
809,176,348
137,996,555
810,820,148
810,148,182
318,206,811
811,206,790
825,864,812
858,937,636
813,704,718
3,586,813
235,616,814
952,616,285
815,628,537
207,936,281
320,445,816
816,445,655
817,819,125
817,125,321
524,868,818
818,159,529
819,302,455
819,801,976
810,298,820
298,106,820
365,771,821
771,531,821
897,18,756
822,929,564
823,821,531
823,133,553
824,488,140
974,824,723
825,812,937
654,253,825
804,368,826
368,487,826
827,469,565
610,830,559
452,493,828
828,493,63
829,272,677
67,1001,868
830,827,559
830,803,398
752,605,831
547,951,605
955,832,787
832,758,240
833,827,830
833,300,339
383,105,834
834,105,829
371,396,835
396,989,835
104,624,836
836,624,604
27,162,837
162,324,837
36,920,609
838,345,8
387,898,839
839,317,156
192,378,840
378,975,840
59,932,440
908,841,932
842,673,574
842,688,207
730,591,843
591,907,843
214,170,844
844,170,477
845,773,743
845,481,73
846,614,289
348,176,846
847,252,346
900,942,234
848,292,751
719,248,848
849,700,37
305,357,849
336,150,850
850,150,409
463,984,851
851,164,777
278,32,852
852,32,631
853,428,965
600,163,853
854,817,689
854,211,172
855,346,433
855,998,291
30,922,856
856,210,531
676,524,857
857,524,818
636,500,858
858,500,861
283,538,859
859,538,526
197,861,860
931,683,119
861,500,683
861,198,573
862,813,577
862,169,473
191,243,863
243,218,863
268,354,864
864,354,31
865,456,656
865,258,589
173,256,866
866,256,536
205,654,867
654,158,867
868,834,829
868,100,818
990,467,944
247,164,869
36,296,870
870,296,109
961,972,692
961,255,461
872,308,40
872,439,29
217,398,873
873,398,933
874,567,476
874,658,480
875,998,64
875,486,534
876,221,42
567,81,876
877,802,693
877,162,64
878,517,400
878,437,69
504,490,879
766,927,490
880,21,543
880,780,101
881,627,42
881,569,37
594,582,882
582,267,882
883,466,286
883,295,78
347,49,884
49,508,884
885,784,68
885,356,668
90,28,886
886,28,200
887,666,767
256,934,536
888,739,428
888,105,383
889,670,276
444,26,889
316,230,890
890,230,278
891,342,456
130,427,891
892,659,300
359,217,892
893,970,204
893,572,690
894,388,171
773,506,894
415,652,895
895,652,469
452,897,822
897,756,227
896,929,897
897,452,828
898,387,63
674,402,898
809,996,768
899,137,464
900,750,25
900,497,523
901,453,127
901,283,730
902,110,271
902,194,716
262,520,903
903,520,95
904,24,288
904,87,924
816,655,905
905,655,553
639,375,906
375,93,906
907,903,843
907,591,337
908,374,841
908,332,304
65,7,909
7,478,909
150,336,910
910,336,221
911,685,460
911,699,501
5,28,912
912,28,90
913,530,83
913,465,919
588,23,914
914,23,776
630,984,915
915,55,376
916,992,618
16,365,916
917,558,307
638,512,917
751,750,918
918,750,900
919,465,210
922,919,210
920,36,870
920,426,123
921,246,644
921,128,386
922,30,315
280,919,922
421,566,925
923,925,604
924,87,314
924,68,784
925,566,604
923,421,925
946,577,653
926,653,289
927,879,490
927,224,103
928,298,410
928,550,690
896,309,929
929,309,322
930,713,563
930,943,478
931,860,683
931,183,114
932,841,440
932,59,320
398,527,933
933,527,564
934,887,536
934,256,540
935,987,142
935,142,388
936,815,281
936,207,263
937,812,636
937,303,158
938,104,224
938,541,6
384,285,939
939,285,700
109,120,940
940,120,123
941,706,102
11,479,941
942,666,887
942,847,234
930,563,943
563,587,943
742,990,944
585,459,944
791,1000,490
1000,945,490
946,740,577
926,614,946
947,807,464
947,111,157
404,363,948
363,982,948
949,742,792
644,247,949
126,782,950
950,782,584
951,204,831
952,814,616
384,321,952
953,964,299
953,299,151
199,213,954
213,719,954
955,183,931
119,832,955
956,548,122
956,305,37
78,295,957
295,205,957
958,794,341
231,479,958
172,290,959
959,290,517
960,327,275
640,746,960
964,972,871
692,472,961
962,277,621
962,38,745
306,474,963
474,34,963
953,118,964
964,118,972
428,739,965
965,739,729
966,237,458
97,19,966
967,177,72
967,222,733
968,800,282
968,675,773
13,287,969
287,462,969
970,752,204
893,39,970
971,298,810
571,772,971
972,118,297
972,961,871
154,557,973
557,384,973
974,202,112
212,824,974
620,797,975
975,797,539
801,236,976
976,236,125
293,747,977
747,691,977
58,307,978
978,307,244
403,392,979
979,392,115
39,81,980
980,81,596
981,580,302
715,537,981
363,117,982
117,799,982
983,246,921
36,1002,296
665,218,984
984,218,635
113,737,985
985,737,464
92,798,986
986,798,414
947,157,987
987,157,142
988,496,334
988,375,639
989,601,239
989,56,174
990,949,247
990,869,467
635,182,991
991,182,148
992,796,618
916,365,992
993,652,415
407,988,993
994,51,350
994,562,797
995,212,54
995,551,275
996,899,768
996,809,555
997,958,479
46,794,997
998,855,433
875,88,998
999,214,47
999,670,889
385,340,1000
1000,340,541
1001,67,686
1001,32,230
1002,983,296
1002,36,603
